,coach,block,start_per,end_per,TAVG,TMAX,TMIN,tempdif,day_of_week,month,tempF,windspeedMiles,winddirdegree,weatherCode,precipInches,humidity,visibilityMiles,pressureInches,cloudcover,HeatIndexF,DewPointF,WindChillF,WindGustMiles,FeelsLikeF,uvIndex,block_mileage
96,7505.0,7771,100.0,16.0,53.0,62.0,45.0,17.0,2.0,5.0,65.5,7.4,320.2,113.0,0.0,51.6,6.0,30.0,11.6,66.4,46.6,65.3,8.5,65.3,4.9,107.0
97,7503.0,7772,100.0,31.0,53.0,62.0,45.0,17.0,2.0,5.0,65.5,7.4,320.2,113.0,0.0,51.6,6.0,30.0,11.6,66.4,46.6,65.3,8.5,65.3,4.9,145.9
98,7502.0,7774,99.0,37.0,53.0,62.0,45.0,17.0,2.0,5.0,65.5,7.4,320.2,113.0,0.0,51.6,6.0,30.0,11.6,66.4,46.6,65.3,8.5,65.3,4.9,105.9
99,7501.0,7773,100.0,54.0,53.0,62.0,45.0,17.0,2.0,5.0,65.5,7.4,320.2,113.0,0.0,51.6,6.0,30.0,11.6,66.4,46.6,65.3,8.5,65.3,4.9,167.3
100,7503.0,7771,100.0,20.0,56.0,66.0,49.0,17.0,3.0,5.0,69.4,3.8,271.5,145.1,0.0,53.6,5.5,30.0,18.4,72.6,51.2,69.5,4.8,71.2,4.8,107.0
101,7504.0,7772,100.0,34.0,56.0,66.0,49.0,17.0,3.0,5.0,69.4,3.8,271.5,145.1,0.0,53.6,5.5,30.0,18.4,72.6,51.2,69.5,4.8,71.2,4.8,145.9
102,7505.0,7774,100.0,31.0,56.0,66.0,49.0,17.0,3.0,5.0,69.4,3.8,271.5,145.1,0.0,53.6,5.5,30.0,18.4,72.6,51.2,69.5,4.8,71.2,4.8,105.9
103,7502.0,7773,99.0,53.0,56.0,66.0,49.0,17.0,3.0,5.0,69.4,3.8,271.5,145.1,0.0,53.6,5.5,30.0,18.4,72.6,51.2,69.5,4.8,71.2,4.8,167.3
104,7503.0,7771,100.0,17.0,57.0,67.0,48.0,19.0,4.0,5.0,69.9,4.6,223.2,113.6,0.0,56.8,6.0,30.4,19.8,70.9,53.5,69.9,5.3,70.9,5.3,107.0
105,7504.0,7772,100.0,35.0,57.0,67.0,48.0,19.0,4.0,5.0,69.9,4.6,223.2,113.6,0.0,56.8,6.0,30.4,19.8,70.9,53.5,69.9,5.3,70.9,5.3,145.9
106,7505.0,7774,100.0,28.0,57.0,67.0,48.0,19.0,4.0,5.0,69.9,4.6,223.2,113.6,0.0,56.8,6.0,30.4,19.8,70.9,53.5,69.9,5.3,70.9,5.3,105.9
107,7501.0,7773,100.0,60.0,57.0,67.0,48.0,19.0,4.0,5.0,69.9,4.6,223.2,113.6,0.0,56.8,6.0,30.4,19.8,70.9,53.5,69.9,5.3,70.9,5.3,167.3
108,7502.0,7771,100.0,18.0,57.0,67.0,46.0,21.0,1.0,5.0,70.1,4.7,278.4,113.0,0.0,53.8,6.0,30.2,5.2,72.6,51.9,70.3,5.4,71.8,5.3,107.0
109,7503.0,7772,100.0,46.0,57.0,67.0,46.0,21.0,1.0,5.0,70.1,4.7,278.4,113.0,0.0,53.8,6.0,30.2,5.2,72.6,51.9,70.3,5.4,71.8,5.3,145.9
110,7504.0,7774,100.0,38.0,57.0,67.0,46.0,21.0,1.0,5.0,70.1,4.7,278.4,113.0,0.0,53.8,6.0,30.2,5.2,72.6,51.9,70.3,5.4,71.8,5.3,105.9
111,7503.0,7771,100.0,21.0,62.0,72.0,47.0,25.0,2.0,5.0,73.3,3.9,230.3,113.0,0.0,52.6,6.0,30.0,5.2,74.6,54.4,73.3,4.5,74.3,5.8,107.0
112,7502.0,7772,100.0,39.0,62.0,72.0,47.0,25.0,2.0,5.0,73.3,3.9,230.3,113.0,0.0,52.6,6.0,30.0,5.2,74.6,54.4,73.3,4.5,74.3,5.8,145.9
113,7504.0,7774,100.0,36.0,62.0,72.0,47.0,25.0,2.0,5.0,73.3,3.9,230.3,113.0,0.0,52.6,6.0,30.0,5.2,74.6,54.4,73.3,4.5,74.3,5.8,105.9
114,7505.0,7773,98.0,50.0,62.0,72.0,47.0,25.0,2.0,5.0,73.3,3.9,230.3,113.0,0.0,52.6,6.0,30.0,5.2,74.6,54.4,73.3,4.5,74.3,5.8,167.3
115,7504.0,7771,100.0,25.0,54.0,65.0,45.0,20.0,3.0,5.0,69.5,4.8,235.8,113.0,0.0,53.8,6.0,30.0,3.0,70.7,51.6,69.5,5.6,70.6,5.3,107.0
116,7502.0,7772,100.0,36.0,54.0,65.0,45.0,20.0,3.0,5.0,69.5,4.8,235.8,113.0,0.0,53.8,6.0,30.0,3.0,70.7,51.6,69.5,5.6,70.6,5.3,145.9
117,7505.0,7774,100.0,38.0,54.0,65.0,45.0,20.0,3.0,5.0,69.5,4.8,235.8,113.0,0.0,53.8,6.0,30.0,3.0,70.7,51.6,69.5,5.6,70.6,5.3,105.9
118,7503.0,7773,99.0,53.0,54.0,65.0,45.0,20.0,3.0,5.0,69.5,4.8,235.8,113.0,0.0,53.8,6.0,30.0,3.0,70.7,51.6,69.5,5.6,70.6,5.3,167.3
119,7504.0,7771,99.0,21.0,65.0,74.0,50.0,24.0,4.0,5.0,74.5,3.5,269.0,113.0,0.0,49.4,6.0,30.0,5.2,75.4,53.4,74.5,3.9,75.1,5.9,107.0
120,7502.0,7772,100.0,31.0,65.0,74.0,50.0,24.0,4.0,5.0,74.5,3.5,269.0,113.0,0.0,49.4,6.0,30.0,5.2,75.4,53.4,74.5,3.9,75.1,5.9,145.9
121,7505.0,7774,100.0,29.0,65.0,74.0,50.0,24.0,4.0,5.0,74.5,3.5,269.0,113.0,0.0,49.4,6.0,30.0,5.2,75.4,53.4,74.5,3.9,75.1,5.9,105.9
122,7503.0,7773,100.0,50.0,65.0,74.0,50.0,24.0,4.0,5.0,74.5,3.5,269.0,113.0,0.0,49.4,6.0,30.0,5.2,75.4,53.4,74.5,3.9,75.1,5.9,167.3
123,7502.0,7771,100.0,17.0,68.0,76.0,53.0,23.0,0.0,6.0,78.7,3.6,247.8,113.0,0.0,49.8,6.0,30.0,3.3,79.0,57.4,78.7,4.3,78.9,6.2,107.0
124,7503.0,7772,100.0,37.0,68.0,76.0,53.0,23.0,0.0,6.0,78.7,3.6,247.8,113.0,0.0,49.8,6.0,30.0,3.3,79.0,57.4,78.7,4.3,78.9,6.2,145.9
125,7504.0,7773,98.0,50.0,68.0,76.0,53.0,23.0,0.0,6.0,78.7,3.6,247.8,113.0,0.0,49.8,6.0,30.0,3.3,79.0,57.4,78.7,4.3,78.9,6.2,167.3
