,DateTime,op_type,op_id,coach,block,start_mile,end_mile,start_per,end_per,start_range,end_range,start_mpge,end_mpge,mpp
1298,2020-07-28,XB572,Opr 8,coach_7505,block_9987,0,63,100%,75%,200,143,24.2,24.2,2.52
1299,2020-07-28,XB680,Opr 9,coach_7505,block_9987,63,83,75%,28%,143,52,24.2,24.2,1.77
1304,2020-07-29,XB568,Opr 8,coach_7505,block_9987,0,63,100%,75%,200,143,24.2,24.2,2.52
1305,2020-07-29,XB981,Opr 9,coach_7505,block_9987,63,83,75%,35%,143,60,24.2,24.2,2.08
1310,2020-07-30,XB829,Opr 8,coach_7505,block_9987,0,63,100%,76%,206,146,24.2,24.4,2.63
1311,2020-07-30,XB839,Opr 9,coach_7505,block_9987,63,83,76%,33%,146,61,24.4,24.4,1.93
1316,2020-07-31,XB714,Opr 8,coach_7505,block_9987,0,63,100%,73%,206,138,24.4,24.4,2.33
1317,2020-07-31,XB617,Opr 9,coach_7505,block_9987,63,83,73%,28%,138,50,24.4,24.4,1.84
1323,2020-08-10,REG245,Opr 6,coach_7505,block_7071,0,91,100%,56%,207,107,24.4,24.4,2.07
1324,2020-08-10,REG671,Opr 7,coach_7505,block_7071,91,45,56%,30%,107,50,24.4,24.4,1.73
1326,2020-08-11,XB995,Opr 1,coach_7505,block_7771,0,49,100%,82%,207,160,24.4,24.4,2.72
1327,2020-08-11,REG430,Opr 2,coach_7505,block_7771,49,37,82%,65%,160,123,24.4,24.4,2.18
1328,2020-08-11,REG001,Opr 3,coach_7505,block_7771,86,80,65%,21%,123,35,24.4,24.4,1.82
1333,2020-08-12,XB420,Opr 1,coach_7505,block_7771,0,49,100%,79%,204,152,24.4,24.4,2.33
1334,2020-08-12,XB894,Opr 2,coach_7505,block_7771,49,37,79%,59%,152,112,24.4,24.4,1.85
1335,2020-08-12,REG585,Opr 3,coach_7505,block_7771,86,80,59%,15%,112,20,24.4,24.4,1.82
1346,2020-08-13,REG359,Opr 8,coach_7505,block_7072,0,66,100%,70%,204,136,24.4,24.4,2.2
1347,2020-08-13,XB829,Opr 9,coach_7505,block_7072,66,85,70%,28%,136,51,24.4,24.4,2.02
1349,2020-08-14,REG420,Opr 1,coach_7505,block_7771,0,49,100%,81%,210,160,24.4,24.4,2.58
1350,2020-08-14,REG430,Opr 2,coach_7505,block_7771,49,38,81%,61%,160,117,24.4,24.4,1.9
1351,2020-08-14,REG585,Opr 3,coach_7505,block_7771,87,80,61%,10%,117,15,24.4,24.4,1.57
1359,2020-08-17,REG420,Opr 1,coach_7505,block_7771,0,48,100%,83%,204,165,24.4,24.4,2.82
1360,2020-08-17,REG430,Opr 2,coach_7505,block_7771,48,38,83%,64%,165,125,24.4,24.4,2.0
1361,2020-08-17,REG585,Opr 3,coach_7505,block_7771,86,80,64%,20%,125,45,24.4,24.4,1.82
1369,2020-08-18,REG420,Opr 1,coach_7505,block_7771,0,48,100%,80%,204,157,24.4,24.4,2.4
1370,2020-08-18,REG430,Opr 2,coach_7505,block_7771,48,38,80%,60%,157,117,24.4,24.4,1.9
1371,2020-08-18,REG585,Opr 3,coach_7505,block_7771,86,80,60%,11%,117,30,24.4,24.4,1.63
1376,2020-08-19,REG420,Opr 1,coach_7505,block_7771,0,48,100%,81%,204,162,24.4,24.4,2.53
1377,2020-08-19,REG894,Opr 2,coach_7505,block_7771,48,38,81%,64%,162,123,24.4,24.4,2.24
1378,2020-08-19,REG585,Opr 3,coach_7505,block_7771,86,80,64%,24%,123,41,24.4,24.4,2.0
1390,2020-08-21,REG420,Opr 1,coach_7505,block_7771,0,DOWNED,100%,DOWNED,205,DOWNED,24.4,DOWNED,
1551,2020-10-02,REG420,Opr_1,coach_7505,block_7771,0,48,100%,83%,198,159,23,24,2.82
1552,2020-10-02,REG430,Opr_2,coach_7505,block_7771,48,38,83%,65%,159,121,24,24,2.11
1553,2020-10-02,REG585,Opr_3,coach_7505,block_7771,86,80,65%,25%,121,41,24,24.2,2.0
1558,2020-10-05,REG420,Opr_1,coach_7505,block_7771,0,48,100%,82%,206,176,24.2,24.6,2.67
1559,2020-10-05,XB406,Opr_2,coach_7505,block_7771,48,38,82%,66%,176,140,24.4,24.8,2.38
1560,2020-10-05,REG001,Opr_3,coach_7505,block_7771,86,80,66%,30%,140,65,24.8,25.2,2.22
1565,2020-10-06,REG420,Opr_1,coach_7505,block_7771,0,48,100%,81%,215,170,25.2,25.4,2.53
1566,2020-10-06,XB406,Opr_2,coach_7505,block_7771,48,38,81%,67%,170,134,25.4,25.6,2.71
1567,2020-10-06,XB086,Opr_3,coach_7505,block_7771,86,80,67%,23%,134,31,25.6,23,1.82
1613,2020-10-19,REG420,Opr_1,coach_7505,block_7771,0,48,100%,83%,192,160,22.6,24.4,2.82
1614,2020-10-19,XB380,Opr_2,coach_7505,block_7771,48,38,83%,68%,160,135,24.4,25.4,2.53
1615,2020-10-19,XB684,Opr_3,coach_7505,block_7771,86,80,68%,25%,135,41,25.4,25.2,1.86
1623,2020-10-20,REG420,Opr_1,coach_7505,block_7771,0,48,100%,83%,216,168,25.2,25.6,2.82
1624,2020-10-20,XB325,Opr_2,coach_7505,block_7771,48,38,83%,67%,168,135,25.6,25.8,2.38
1625,2020-10-20,XB228,Opr_3,coach_7505,block_7771,86,61,67%,10%,135,17,25.8,23.6,1.07
1633,2020-10-21,REG420,Opr_1,coach_7505,block_7771,0,48,100%,81%,199,155,23.6,24.2,2.53
1634,2020-10-21,GRP473,Opr_2,coach_7505,block_7771,48,38,81%,64%,155,122,24.2,24.2,2.24
1635,2020-10-21,GRP376,Opr_3,coach_7505,block_7771,86,80,64%,25%,122,42,24.2,24.2,2.05
1640,2020-10-22,REG420,Opr_1,coach_7505,block_7771,0,48,100%,82%,205,159,24.4,24.6,2.67
1641,2020-10-22,GRP473,Opr_2,coach_7505,block_7771,48,38,82%,65%,159,124,24.6,24.8,2.24
1642,2020-10-22,GRP376,Opr_3,coach_7505,block_7771,86,80,65%,25%,124,44,24.8,24.8,2.0
1650,2020-10-23,REG420,Opr_1,coach_7505,block_7771,0,48,94%,74%,190,145,24.8,25,2.4
1651,2020-10-23,XB095,Opr_2,coach_7505,block_7771,48,38,74%,59%,145,113,25,25.2,2.53
1652,2020-10-23,XB626,Opr_3,coach_7505,block_7771,86,80,59%,13%,113,20,25.2,25,1.74
1659,2020-10-26,REG420,Opr_1,coach_7505,block_7771,0,48,100%,81%,205,160,25,25,2.53
1660,2020-10-26,XB380,Opr_2,coach_7505,block_7771,48,38,81%,66%,160,126,25,25,2.53
